uid	kind	A_only	B_only	text
1_2	涉及角色分歧	[]	[('赫萝', '做')]	这下子真不知道是谁在捉弄谁。
1_3	涉及角色分歧	[]	[('-', '做')]	拍了拍绑在腰上的大块布料，然后对着野兔露出笑容宣告游戏结束。这时，野兔母子互看一跟后，脚步轻快地走远
1_6	涉及角色分歧	[]	[('马儿', '做')]	这次的巢穴比较特别，是用木头与铁做成，前方还有马匹拉动，并且带有车轮。
1_18	涉及角色分歧	[]	[('马儿', '做')]	旅伴是为了让马儿吃草以节省饲料费，还有前几天拜访了一个城镇，在那里看见的东西让旅伴在意得不得了。
1_19	涉及角色分歧	[('罗伦斯', '做')]	[]	从昨晚开始旅伴就一直心不在焉，就是听到这方搭腔说话，也只是爱理不理地回答。方才吃午餐时也一样，旅伴的
1_20	涉及角色分歧	[]	[('罗伦斯', '做')]	说到旅伴到底在想什么，似乎是在镇上看见的货币及皮草。
1_22	涉及角色分歧	[]	[('罗伦斯', '做')]	为了这件事情，旅伴从昨晚就—直计算着。
1_23	涉及角色分歧	[]	[('赫萝', '做')]	在人类世界旅行时，不管做什么事情都需要用到金钱，而且旅伴本来就是为了赚钱而旅行，所以这方没道理生气。
1_24	涉及角色分歧	[]	[('赫萝', '做')]	看见旅伴做着如此让人热泪的努力，怎么好意思要求旅伴买根本没办法填饱肚子的东西？
1_34	涉及角色分歧	[('罗伦斯', '做')]	[]	然而，这方重新铺上拍打过的棉被，正准备钻进去时，旅伴突然这么说。
1_37	涉及角色分歧	[]	[('赫萝', '做')]	旅伴一副乐天派的模样笑了笑。看见那副蠢样，有时候真会让人想要坏心眼地躲起来一下。
1_50	涉及角色分歧	[]	[('罗伦斯', '做')]	旅伴似乎认为这方是为了食物才跟随着他，难道旅伴真的认为拥有贤狼名号的这方，会只因为“人类料理的食物太
1_55	说/做/想角色分歧	[]	[('赫萝', '做')]	这副德性的旅伴有时候还会觉得自己是人类世界里冷静沉着的狼，真是笑死人了。这方把脸靠在驾座边缘上，喃喃
1_66	涉及角色分歧	[('罗伦斯', '做')]	[]	这方一边嘀咕，一边左一次右一次地望着掉落物时，传来旅伴的声音：
1_68	涉及角色分歧	[]	[('罗伦斯', '做')]	马儿原本尽情享受着久违的自由，旅伴的打扰似乎让马儿相当生气。
1_78	涉及角色分歧	[]	[('罗伦斯', '做')]	旅伴肯定以为这方早就躺在货台上用棉被裹住身体，才会这么询问。原本打算问问看方才捡到的是什么东西，但因
1_84	涉及角色分歧	[]	[('赫萝', '做')]	对贤狼而言，这种别具风格或韵味的东西，会比闪闪发光的东西来得合适。难得这东西还绑上了皮绳圈，或许可以
1_104	涉及角色分歧	[]	[('赫萝', '做')]	旅伴该不会又因为不甘心直率地说出感想，而打算说一些令人厌恶的话语？
1_105	涉及角色分歧	[('罗伦斯', '做')]	[]	这方心想“真是一只不坦率的雄性”时，旅伴突然这么说：
1_110	涉及角色分歧	[('赫萝', '做')]	[('罗伦斯', '做')]	旅伴露出怪异表情望着这方好一会儿时间，看见这方不停甩动尾巴后，旅伴只说了句：“这样啊。”便重新面向前
1_120	涉及角色分歧	[]	[('赫萝', '做')]	除了吃饭和午睡的愉快时光之外，就属此刻最开心了。
1_124	涉及角色分歧	[]	[('罗伦斯', '做')]	如果旅伴是刻意这么做，就是要这方立刻屈服似乎也无不可。
1_127	涉及角色分歧	[]	[('罗伦斯', '做')]	旅伴似乎抓到了赚钱的线索。
1_129	涉及角色分歧	[]	[('赫萝', '做')]	虽然没打算谄媚旅伴，但既然要一起旅行，有笑容相伴当然比较好。
1_135	说/做/想角色分歧	[]	[('罗伦斯', '做')]	旅伴把涂上蜡的木板放在膝盖上，看着刻在木板上的一大片计算结果不知嘟哝着什么后，突然大叫说：“果然是这
2_1	涉及角色分歧	[]	[('赫萝', '做')]	不过，反复买进又卖出各种物品，再回到最初的物品后，真有可能产生利益吗？
2_6	涉及角色分歧	[]	[('赫萝', '做')]	虽然知道应该是很了不起的发现，但看见旅伴太过兴奋的表现，反而让人觉得扫兴。而且，难得在尾巴挂了饰品，
2_8	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做'), ('马儿', '做')]	穿过今天早上才经过的城墙，进到了城镇，城镇里依旧人潮拥挤，看见这般人潮，就会忍不住怀疑旅伴真的发现了
2_9	涉及角色分歧	[]	[('赫萝', '做')]	不过，理所当然地，任何事情都可能成功，也可能失败。至少能够确定的一点是，旅伴绝对没有忘记这方遗忘许久
2_10	涉及角色分歧	[]	[('赫萝', '做')]	看见旅伴恨不得早一刻进行交易、急得心里发痒的侧脸，连坐在旁边的人也不禁开心了起来。
2_11	涉及角色分歧	[]	[('马儿', '做')]	然而，旅伴一来到马店安顿好马儿，立刻朝向这方说出这般话语：
2_17	涉及角色分歧	[]	[('赫萝', '做')]	只要老实说带这方一起行动很麻烦不就好了？在明显看得出旅伴不想带这方一起行动，又听到“你不想去吧？”的
2_22	涉及角色分歧	[]	[('罗伦斯', '做')]	反正旅伴一定觉得这方是个怕寂寞的人，所以因为寂寞而在闹别扭。
2_23	涉及角色分歧	[]	[('罗伦斯', '做')]	为什么这样旅伴就会觉得自己才是握住对方缰绳的人呢？
2_24	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	虽然愚蠢到令人难以置信，但看见旅伴那自信满满的表晴，又会忍不住觉得可爱，看来更加令人难以置信的应该是
2_28	涉及角色分歧	[]	[('罗伦斯', '做')]	对于这次的交易，旅伴似乎相当有信心。
2_30	涉及角色分歧	[('罗伦斯', '做')]	[]	尽管如此，旅伴还是不忘这么叮咛。
3_2	涉及角色分歧	[]	[('赫萝', '做')]	这里的钟声响了，这里的市场就会开始营业；那里的钟声响了，那里的工匠们就会开始休息。看见这般光景，就像
3_3	涉及角色分歧	[]	[('赫萝', '做')]	这么一想，不禁觉得在宽广大地上独自驱使马车，并且只相信自己的技巧和直觉，顶多只会遵从月亮和太阳运行的
3_6	涉及角色分歧	[]	[('赫萝', '做')]	或者应该说，还是无法找到平息怒气的借口。
3_12	涉及角色分歧	[]	[('赫萝', '做')]	这方明明那么讨厌被人当成神明敬仰，现在受到这般愚蠢的敬仰方式对待，却连生气的气力都没有，真是太教人感
4_6	涉及角色分歧	[]	[('罗伦斯', '做')]	旅伴似乎真的很开心。
4_24	涉及角色分歧	[]	[('罗伦斯', '做')]	旅伴身上散发出尘埃味，看得出来四处奔波了许久。
4_30	涉及角色分歧	[]	[('罗伦斯', '做')]	旅伴应该是真的很开心吧。
4_31	涉及角色分歧	[]	[('罗伦斯', '做')]	看见旅伴如此开心的表情，这方当然只能陪笑。
4_33	涉及角色分歧	[]	[('罗伦斯', '做')]	抱着宛如等了好几百年，才看见有人伸出手的怀念心情握住旅伴的手后，发现旅伴的手比喝醉酒的这方温暖得多。
4_36	涉及角色分歧	[('罗伦斯', '做')]	[('赫萝', '做')]	听到旅伴说什么“振作点”还是“没事吧”之类的话语，会让人双脚变得更加无力。
4_39	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	虽然有这么多种声音在四周萦绕，但惟独旅伴的心跳声听得特别清楚。
4_42	涉及角色分歧	[]	[('赫萝', '做')]	真希望这般愉快时光永远持续下去。
4_49	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	但是，旅伴直到方才还利用皮草大赚了一笔，被这样的旅伴牵着手，就是不想注意也难。
4_52	涉及角色分歧	[]	[('罗伦斯', '做')]	不过是偶尔顺利做成生意，旅伴就立刻这副得意模样。虽然抱着这般想法，但一方面受到共享秘密的不道德感影响
4_53	涉及角色分歧	[]	[('-', '做')]	然而，目前正面临危机的商人们似乎无法忍受事实。
4_57	涉及角色分歧	[]	[('-', '做')]	抱着满山相同皮草的商人表现得更是激动，但怎么看都知道那商人在演戏。商人们想必是抱着刻意大吵大闹一番，
4_58	涉及角色分歧	[('皮草商人', '做')]	[('-', '做')]	这方甚至抱着佩服的心情眺望着吵闹的商人们。
4_60	涉及角色分歧	[]	[('赫萝', '做')]	只有自己一人顺利进行完交易的旅伴，拉着这方的手打算走出去。
4_66	涉及角色分歧	[]	[('皮草商人', '做'), ('赫萝', '做')]	一路看着旅伴做生意后，会发现人类经常使用“信用”这东西。因为做生意经常必须向陌生人采买或接收各种物品
4_68	涉及角色分歧	[]	[('皮草商人', '做')]	那名商人高举在头上的皮革束吸引了这方目光。皮单束用了一条皮绳捆绑住，而挂在皮绳上的东西十分眼熟。
5_1	涉及角色分歧	[]	[('皮草商人', '做')]	而且，商人拿在手上的是品质不太好，毛发又干燥的狐狸皮草。
5_4	涉及角色分歧	[]	[('罗伦斯', '做')]	旅伴看见这方在尾巴绑上皮绳而开心的模样后，并非因为那东西太衬托这方，才会显得慌张。而是因为绑在尾巴上
5_6	涉及角色分歧	[]	[('赫萝', '做')]	这么一来，以为旅伴是因为觉得太好看而显得慌张的这方，简直就是个无药可救的笨蛋。
5_7	涉及角色分歧	[]	[('赫萝', '做')]	不过，让这方生气的事情不止这一件。
5_8	涉及角色分歧	[]	[('赫萝', '做')]	旅伴那时的态度和现在的态度也教人生气，
5_9	涉及角色分歧	[]	[('赫萝', '做')]	看见这方愚蠢地在自己的尾巴绑上价格标签，却开心不已的表现，旅伴肯定打算隐瞒真相到底。旅伴方才急着拉着
5_10	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	这方只知道旅伴应该没有恶意，更没有一丝想要取笑这方做出愚蠢表现的意思。
5_24	涉及角色分歧	[]	[('赫萝', '做')]	如果要问是哪一方的错，八成是这方的错。
5_25	涉及角色分歧	[]	[('赫萝', '做')]	尽管如此，有些事情还是不能放过。
5_27	涉及角色分歧	[]	[('赫萝', '做')]	这方当然不可能放过了。
5_28	涉及角色分歧	[]	[('赫萝', '做')]	城镇里到处都是人，而旅伴具有超越这么多人的智慧，怎么能够放过让旅伴屈服于这方任性之下的机会。
5_31	涉及角色分歧	[]	[('赫萝', '做')]	因为虽然旅伴叹了口气，然后无精打采地走了出去，但从其侧脸看得出来并不讨厌这方的任性举动。
5_33	涉及角色分歧	[]	[('赫萝', '做')]	就彷佛想要告诉世人，只有这只贤狼知道旅伴真正具有的价值以及品质。
5_34	涉及角色分歧	[]	[('赫萝', '做')]	这般举动非常愚蠢，但或许在自己尾巴绑上价格标签，还开心不已的这方很适合做出这股举动。
